variant,N,block,threads,run,time_sec,verified
OMM,4096,0,8,4,2.577052116,1
OMM,4096,0,8,5,2.624539137,1
OMM,4096,0,10,1,3.576097012,1
OMM,4096,0,10,2,3.722949982,1
OMM,4096,0,10,3,3.304035187,1
OMM,4096,0,10,4,3.206488848,1
OMM,4096,0,10,5,3.376982927,1
OMM,4096,0,12,1,2.953486204,1
OMM,4096,0,12,2,3.289024115,1
OMM,4096,0,12,3,2.852224112,1
OMM,4096,0,12,4,3.159651995,1
OMM,4096,0,12,5,2.618221998,1
OMM,4096,0,14,1,2.275153875,1
OMM,4096,0,14,2,2.243862867,1
OMM,4096,0,14,3,2.212506056,1
OMM,4096,0,14,4,2.341367006,1
OMM,4096,0,14,5,2.389320135,1
OMM,4096,0,16,1,1.995766163,1
OMM,4096,0,16,2,1.994218111,1
OMM,4096,0,16,3,2.264986038,1
OMM,4096,0,16,4,2.305491924,1
OMM,4096,0,16,5,1.965178013,1
BMM4,4096,4,1,1,488.855443954,1
BMM4,4096,4,1,2,551.918977022,1
BMM4,4096,4,1,3,559.938528061,1
BMM4,4096,4,1,4,556.089877844,1
BMM4,4096,4,1,5,536.164433002,1
BMM4,4096,4,2,1,278.380228996,1
BMM4,4096,4,2,2,272.338063955,1
BMM4,4096,4,2,3,266.280538082,1
BMM4,4096,4,2,4,261.142582893,1
BMM4,4096,4,2,5,272.263206959,1
BMM4,4096,4,4,1,140.560550928,1
BMM4,4096,4,4,2,120.092351913,1
BMM4,4096,4,4,3,113.458861113,1
BMM4,4096,4,4,4,129.013797045,1
BMM4,4096,4,4,5,105.268887997,1
BMM4,4096,4,6,1,68.917959929,1
BMM4,4096,4,6,2,67.173887968,1
BMM4,4096,4,6,3,62.481812000,1
BMM4,4096,4,6,4,63.128278017,1
BMM4,4096,4,6,5,66.607036829,1
BMM4,4096,4,8,1,46.075055122,1
BMM4,4096,4,8,2,45.990258932,1
BMM4,4096,4,8,3,45.969326973,1
BMM4,4096,4,8,4,47.141901016,1
BMM4,4096,4,8,5,43.804293156,1
BMM4,4096,4,10,1,35.462908983,1
BMM4,4096,4,10,2,34.339163065,1
BMM4,4096,4,10,3,33.871977806,1
BMM4,4096,4,10,4,34.678442001,1
BMM4,4096,4,10,5,31.076708078,1
BMM4,4096,4,12,1,37.484722137,1
BMM4,4096,4,12,2,37.597595930,1
BMM4,4096,4,12,3,36.723248005,1
BMM4,4096,4,12,4,35.851196051,1
BMM4,4096,4,12,5,35.900434017,1
BMM4,4096,4,14,1,29.679423094,1
BMM4,4096,4,14,2,31.736519098,1
BMM4,4096,4,14,3,31.523015022,1
BMM4,4096,4,14,4,32.135179996,1
BMM4,4096,4,14,5,30.974614859,1
BMM4,4096,4,16,1,26.255135059,1
BMM4,4096,4,16,2,25.744560957,1
BMM4,4096,4,16,3,26.591850042,1
BMM4,4096,4,16,4,25.871025085,1
BMM4,4096,4,16,5,26.170780182,1
BMM8,4096,8,1,1,109.641741037,1
BMM8,4096,8,1,2,109.992296934,1
BMM8,4096,8,1,3,110.722630024,1
BMM8,4096,8,1,4,109.618360996,1
BMM8,4096,8,1,5,109.481120110,1
BMM8,4096,8,2,1,55.130327940,1
BMM8,4096,8,2,2,55.394996166,1
BMM8,4096,8,2,3,55.484250069,1
BMM8,4096,8,2,4,56.646560907,1
BMM8,4096,8,2,5,55.790360928,1
BMM8,4096,8,4,1,28.510487080,1
BMM8,4096,8,4,2,28.675122976,1
BMM8,4096,8,4,3,28.753913879,1
BMM8,4096,8,4,4,28.762933016,1
BMM8,4096,8,4,5,28.510125875,1
BMM8,4096,8,6,1,19.285650015,1
BMM8,4096,8,6,2,19.338446140,1
BMM8,4096,8,6,3,18.909284115,1
BMM8,4096,8,6,4,18.887676954,1
BMM8,4096,8,6,5,19.138981819,1
BMM8,4096,8,8,1,14.311014891,1
BMM8,4096,8,8,2,14.106523037,1
BMM8,4096,8,8,3,14.390034914,1
BMM8,4096,8,8,4,14.253331900,1
BMM8,4096,8,8,5,14.164932013,1
BMM8,4096,8,10,1,14.609209061,1
BMM8,4096,8,10,2,14.360157967,1
BMM8,4096,8,10,3,14.355570078,1
BMM8,4096,8,10,4,14.361838102,1
BMM8,4096,8,10,5,14.350070000,1
BMM8,4096,8,12,1,12.413059950,1
BMM8,4096,8,12,2,12.372529984,1
BMM8,4096,8,12,3,12.809966087,1
BMM8,4096,8,12,4,12.306624174,1
BMM8,4096,8,12,5,12.671046972,1
BMM8,4096,8,14,1,10.752188921,1
BMM8,4096,8,14,2,11.047450066,1
BMM8,4096,8,14,3,12.053969145,1
BMM8,4096,8,14,4,11.519753933,1
BMM8,4096,8,14,5,11.617238998,1
BMM8,4096,8,16,1,11.106755018,1
BMM8,4096,8,16,2,10.318281889,1
BMM8,4096,8,16,3,10.807746887,1
BMM8,4096,8,16,4,10.603795052,1
BMM8,4096,8,16,5,10.590083838,1
BMM16,4096,16,1,1,37.844646931,1
BMM16,4096,16,1,2,37.869442225,1
BMM16,4096,16,1,3,38.001533985,1
BMM16,4096,16,1,4,37.687435865,1
BMM16,4096,16,1,5,37.910036087,1
BMM16,4096,16,2,1,18.781533003,1
BMM16,4096,16,2,2,18.838224888,1
BMM16,4096,16,2,3,18.743137121,1
BMM16,4096,16,2,4,18.647001028,1
BMM16,4096,16,2,5,18.741556883,1
BMM16,4096,16,4,1,9.421700001,1
BMM16,4096,16,4,2,9.628823996,1
BMM16,4096,16,4,3,9.495177984,1
BMM16,4096,16,4,4,9.513866901,1
BMM16,4096,16,4,5,9.435197115,1
BMM16,4096,16,6,1,6.335580826,1
BMM16,4096,16,6,2,6.294127941,1
BMM16,4096,16,6,3,6.324416161,1
BMM16,4096,16,6,4,6.411942959,1
BMM16,4096,16,6,5,6.280966997,1
BMM16,4096,16,8,1,4.962304115,1
BMM16,4096,16,8,2,4.744349003,1
BMM16,4096,16,8,3,4.696288109,1
BMM16,4096,16,8,4,4.726463079,1
BMM16,4096,16,8,5,4.725226164,1
BMM16,4096,16,10,1,4.370151043,1
BMM16,4096,16,10,2,4.415283918,1
BMM16,4096,16,10,3,4.645922899,1
BMM16,4096,16,10,4,4.712558031,1
BMM16,4096,16,10,5,4.895342112,1
BMM16,4096,16,12,1,4.105125904,1
BMM16,4096,16,12,2,4.158956766,1
BMM16,4096,16,12,3,4.118906021,1
BMM16,4096,16,12,4,4.100723982,1
BMM16,4096,16,12,5,4.023615122,1
BMM16,4096,16,14,1,3.626277924,1
BMM16,4096,16,14,2,3.482263803,1
BMM16,4096,16,14,3,3.980477810,1
BMM16,4096,16,14,4,3.747629881,1
BMM16,4096,16,14,5,3.668274879,1
BMM16,4096,16,16,1,3.526777983,1
BMM16,4096,16,16,2,3.401741028,1
BMM16,4096,16,16,3,3.446249008,1
BMM16,4096,16,16,4,3.632928848,1
BMM16,4096,16,16,5,3.746609926,1
BMM32,4096,32,1,1,16.192332983,1
BMM32,4096,32,1,2,16.255502939,1
BMM32,4096,32,1,3,16.287472010,1
BMM32,4096,32,1,4,16.276376963,1
BMM32,4096,32,1,5,16.253490210,1
BMM32,4096,32,2,1,8.129015923,1
BMM32,4096,32,2,2,8.066617012,1
BMM32,4096,32,2,3,8.131558895,1
BMM32,4096,32,2,4,8.174063206,1
BMM32,4096,32,2,5,7.978103161,1
BMM32,4096,32,4,1,4.098476887,1
BMM32,4096,32,4,2,4.138860941,1
BMM32,4096,32,4,3,4.153754234,1
BMM32,4096,32,4,4,4.152020216,1
BMM32,4096,32,4,5,4.094760180,1
BMM32,4096,32,6,1,2.766535044,1
BMM32,4096,32,6,2,2.748857975,1
BMM32,4096,32,6,3,2.733864069,1
BMM32,4096,32,6,4,2.740032911,1
